scientificname,scientificnameid,records,phylum,class,order,family,genus,annotation_type,annotation_aphiaid,datasets
"Alophoixus bres frater (Sharpe, 1877)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Pycnonotidae,"Alophoixus Oates, 1889",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Laphania cf. boeckeri,,1,,,,,,,,4b1671ae-b01e-4754-adf7-e525dc6144a6
Idiacanthus atroventer,,1,,,,,,,,292f775d-c300-4e21-8af2-b3b16a0a0ddc
Epileucon acclivis,,1,Arthropoda,Malacostraca,Cumacea,Leuconidae,Epileucon,,,b0a7add2-dd9e-4020-9ca4-5df048c8f6a2
Idiacanthus panamensis,,1,,,,,,,,705770e5-3474-4e69-be8b-3107a0c5610a
Cephaloscyllum herrei,,1,,,,,Cephaloscyllum,,,0620ae56-5e20-412e-afd9-77acfa5a663a
Cephaloscyllium sarawakensis,,1,,,,,Cephaloscyllium,,,d6e71897-684a-49e4-9c22-19605d626c2a
"Epimachus fastuosus atratus (Rothschild & Hartert, 1911)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Corvidae,"Epimachus Cuvier, 1816",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Cephalopyrus flammiceps (E. Burton, 1836)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Paridae,"Cephalopyrus Bonaparte, 1854",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Epimeria ns 1,,1,Crustacea,,,,Epimeria,,,c28d9e6c-f5fb-482c-b804-2cd4de583884
"Cephalophus nigrifons kivuensis Lönnberg, 1919",,1,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Artiodactyla Owen,Bovidae Gray,"Cephalophus Hamilton-Smith, 1827",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Epinephelus anvina,,1,,,,,,,,ff8b7809-41bc-40ad-8160-0e33862817a0
Epinephelus cae,,1,,,,,Epinephelus,,,0620ae56-5e20-412e-afd9-77acfa5a663a
Epinephelus cauruleopunctatus,,1,Chordata,Actinopterygii,Peciformes,Epiniphilinae,Epinephelus,,,363ae05e-b27f-43ec-b0f9-7c5c8d740472
Epinephelus dubius,,1,,,,,,,,705770e5-3474-4e69-be8b-3107a0c5610a
Epinephelus enermis inermis,,1,,,,,,,,c24bf1c2-2c62-4056-a841-56d94e6e876a
Epinephelus kontoides,,1,,,,Serranidae,Epinephelus,,,5db2ffe4-8764-4647-9271-467192832793
"Cephalophus natalensis Smith, 1834",,1,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Artiodactyla Owen,Bovidae Gray,"Cephalophus Hamilton-Smith, 1827",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
"Cephalophus monticola congicus Lönnberg, 1908",,1,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Artiodactyla Owen,Bovidae Gray,"Cephalophus Hamilton-Smith, 1827",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Epinephelus macrospilus macrospilus,,1,,,,,,,,c24bf1c2-2c62-4056-a841-56d94e6e876a
Epinephelus oceanicus,,1,,,,,,,,a4257cff-3c2c-4a60-ab29-91f65545bb08
Epinephelus suillos,,1,,,,,Epinephelus,,,0620ae56-5e20-412e-afd9-77acfa5a663a
"Cephalophus maxwellii (Hamilton-Smith, 1827)",,1,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Artiodactyla Owen,Bovidae Gray,"Cephalophus Hamilton-Smith, 1827",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Epinephelus vemaenesis,,1,,,,,,,,8a1ae661-e911-4967-bc06-1168fc5f2d89
"Cephalophus dorsalis castaneus Thomas, 1892",,1,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Artiodactyla Owen,Bovidae Gray,"Cephalophus Hamilton-Smith, 1827",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Epioblasma sulcata perobliqua,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Cephalopholis rachycentron,,1,,,,,Cephalopholis,,,0620ae56-5e20-412e-afd9-77acfa5a663a
Epiphanes brachionus spinosus,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Epiphanes clavulata,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Epiphragmophora intercisa nepos Hemphill, 1891",,1,Mollusca,"Gastropoda Cuvier, 1797",,"Epiphragmophoridae Hoffmann, 1928","Epiphragmophora Doring, 1875",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Cephalopholis logaa,,1,,,,Serranidae,Cephalopholis,,,5db2ffe4-8764-4647-9271-467192832793
Cephalopholis fulva,,1,Chordata,Actinopterygii,Perciformes,Serranidae,Cephalopholis,,,f504ff3b-0cdc-4145-ac73-2fc9ae2c4784
Epiplocycloides acuta,,1,,,,,,,,e2162917-3213-4220-820f-b5ea0ead986c
Epiplocycloides ralumensis,,1,,,,,,,,e2162917-3213-4220-820f-b5ea0ead986c
Epiplocylis exigua,,1,,,,,,,,e2162917-3213-4220-820f-b5ea0ead986c
Epiplocylis mira,,1,,,,,,,,e2162917-3213-4220-820f-b5ea0ead986c
Episeptum pseudoinversum,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Episeptum trichoinvadens,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Accipiter novaehollandiae griseogularis (Gray, 1860)",,1,"Chordata Bateson, 1885",Aves,Falconiformes,Accipitridae,"Accipiter Brisson, 1760",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Cephalopholis formosanus tanaka,,1,,,,,Cephalopholis,,,0620ae56-5e20-412e-afd9-77acfa5a663a
Cephalopholis cruentata,,1,Chordata,Actinopterygii,Perciformes,Serranidae,Cephalopholis,,,f504ff3b-0cdc-4145-ac73-2fc9ae2c4784
Cephalopholis coerulopunctatus,,1,,,,,Cephalopholis,,,0620ae56-5e20-412e-afd9-77acfa5a663a
"Cephalodella segersi De Smet, 1998",,1,"Rotifera Cuvier, 1817","Eurotatoria De Ridder, 1957","Ploima Hudson & Gosse, 1886","Notommatidae Hudson & Gosse, 1886","Cephalodella Bory de St. Vincent, 1826",,,29b31b96-5dfa-4d7e-b218-28126d37999c
Cephalodella forficata macrura,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Epistylis sp.,http://gni.globalnames.org/?search_term=id:10173871,1,Ciliophora,Ciliatea,Peritrichida,Unknown,Epistylis,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
Epitimids,,1,,,,,,,,23678adb-b175-4352-856d-d43322374cb1
Epitonium brunnea,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Epitonium clathrum mediterraneum (Kobelt, 1887)",,1,Mollusca,"Gastropoda Cuvier, 1797","Neotaenioglossa Haller, 1882","Epitoniidae Berry, 1910","Epitonium Roding, 1798",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Epitonium eboreus Lan, 1976",,1,Mollusca,"Gastropoda Cuvier, 1797","Neotaenioglossa Haller, 1882","Epitoniidae Berry, 1910","Epitonium Roding, 1798",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Epitonium fragilis Hanley,,1,Mollusca,"Gastropoda Cuvier, 1797","Neotaenioglossa Haller, 1882","Epitoniidae Berry, 1910","Epitonium Roding, 1798",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Cephalochaetosoma uchidai,,1,,,,,Cephalochaetosoma,,,71748d53-57e9-4e30-9678-ede83ca6c7ba
Epitonium halinensis,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Epitonium mathildopsis,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Epitonium nitidum,,1,,,,,,,,a571f246-eaa0-42ba-ab57-28b1b8cf3331
Epitonium (Parviscala) cf. E. algerianum,,1,,,,,,,,488f7e7c-1c38-468c-b11a-843c55b4ab01
Cephalacanthus orientalis,,1,,,,,Cephalacanthus,,,0620ae56-5e20-412e-afd9-77acfa5a663a
Epitonium scalaria,,1,,,,,,,,a571f246-eaa0-42ba-ab57-28b1b8cf3331
Epitonium solutiscala?,,1,,,,,,,,a571f246-eaa0-42ba-ab57-28b1b8cf3331
"Epitonium thieli de Boury, 1913",,1,Mollusca,"Gastropoda Cuvier, 1797","Neotaenioglossa Haller, 1882","Epitoniidae Berry, 1910","Epitonium Roding, 1798",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Epitonium tricarinata,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Accipiter nisus wolterstorffi Kleinschmidt, 1901",,1,"Chordata Bateson, 1885",Aves,Falconiformes,Accipitridae,"Accipiter Brisson, 1760",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Idioteuthis famelica,,1,,,,,,,,b7cdeca9-f3a4-474f-b644-a74f504083bb
Cephalacanthidae,,1,,,,,,,,04e3fd32-b08b-4806-a016-d2dff52ae55a
Epixanthus tenuidactylus,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Cepedea vanniekerkae,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Cepedea segmentata,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Idmonea radians,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Cepedea pulchra,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Cepedea obovoidea,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Cepaea vindobonensis expallescens,,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Helicidae Rafinesque, 1815","Cepaea Held, 1837",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Cepaea austriaca unifasciata,,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Helicidae Rafinesque, 1815","Cepaea Held, 1837",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Cepadinium sp.,,1,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Centropus sinensis (Stephens, 1815)",,1,"Chordata Bateson, 1885",Aves,Cuculiformes,Cuculidae,"Centropus Illiger, 1811",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Centropus sinensis parroti,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Centropus sinensis eurycercus Hay,,1,"Chordata Bateson, 1885",Aves,Cuculiformes,Cuculidae,"Centropus Illiger, 1811",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Accipiter gentilis arrigonii (Kleinschmidt, 1903)",,1,"Chordata Bateson, 1885",Aves,Falconiformes,Accipitridae,"Accipiter Brisson, 1760",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Eponides abrorepandus,,1,,,,,,,,333a0cb5-5a6b-4f97-957c-9128270ee540
Idomene forficata,,1,,,,,,,,19abb100-fb94-4295-ab17-bb3e58674cf3
Centropus sinensis,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Eprolithus apertior,,1,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Alonella hamulata,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Eptesicus brasiliensis (Desmarest, 1819)",,1,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Chiroptera Blumenbach, 1779",Vespertilionidae Gray,"Eptesicus Rafinesque, 1820",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
"Centropus nigrorufus (Cuvier, 1817)",,1,"Chordata Bateson, 1885",Aves,Cuculiformes,Cuculidae,"Centropus Illiger, 1811",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Idotea irrorata,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Centropus melanops banken Hachisuka, 1934",,1,"Chordata Bateson, 1885",Aves,Cuculiformes,Cuculidae,"Centropus Illiger, 1811",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Centropus bengalensis bengalensis (Gmelin, 1788)",,1,"Chordata Bateson, 1885",Aves,Cuculiformes,Cuculidae,"Centropus Illiger, 1811",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Centropus anselli Sharpe, 1874",,1,"Chordata Bateson, 1885",Aves,Cuculiformes,Cuculidae,"Centropus Illiger, 1811",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Centropristris striata,,1,,,,,,,,5bf31864-f4f6-4986-a2c5-1a0e5e9d9e26
Laqueus californianus californica,,1,,,,,,,,471a8de8-80f8-43f9-9443-88a45712feba
"Epthianura aurifrons  Gould, 1838",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Meliphagidae,"Epthianura Gould, 1838",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Alonella excisa excisa (Fischer, 1854)",,1,Arthropoda,"Branchiopoda Latreille, 1817","Diplostraca Gerstaecker, 1866","Chydoridae Stebbing, 1902","Alonella Sars, 1862",,,0912e81c-c5ac-4a53-b719-a9ae6535f895
Epuraea marseuli,,1,,,,,,,,cdcddae2-a8e0-4c86-9e8d-f85134876937
Epuraea sp.,,1,,,,,,,,cdcddae2-a8e0-4c86-9e8d-f85134876937
Idothea,,1,,,,,,,,34370444-238d-4908-9ffb-73d98e2057b0
Equina echinata,,1,,,,,,,,29c81640-3052-4ad0-b66d-14c21dc3270d
Alona larpularia,,1,,,,,,,,4f46f9d8-dc63-4546-9dd5-075df3d25e4a
"Idyla bicristata eustropha (Boettger, 1879)",,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Clausiliidae Draparnaud, 1805","Idyla Adams A. & Adams H., 1855",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Centropomus ensifer,,1,Chordata,Actinopterygii,Perciformes,Centropomidae,Centropomus,,,a5aa7f04-bc65-4921-9058-c02dea97c0da
Centrophorus hendersoni,,1,,,,,,,,9ff216fc-777e-4f9b-9860-95ed7366870d
Equulites bindus,,1,,,,,Equulites,,,0620ae56-5e20-412e-afd9-77acfa5a663a
Equulites elongata,,1,,,,Leiognathidae,Equulites,,,5db2ffe4-8764-4647-9271-467192832793
Centrolophus irvivi,,1,,,,,,,,8a1ae661-e911-4967-bc06-1168fc5f2d89
Centrodraco nanus parin 1982,,1,,,,,,,,fa9bc19f-f98a-4278-ab99-c6d8ef4966c7
Idyla bicristata var. tetragonostoma Pfeiffer,,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Clausiliidae Draparnaud, 1805","Idyla Adams A. & Adams H., 1855",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Eradleya sp.,,1,,,,,,,,38535a43-2982-4479-88c1-8303f7ee8665
Eranthemum,urn:lsid:itis.gov:itis_tsn:1500268,1,Tracheophyta,Equisetopsida,Lamiales,Acanthaceae,Eranthemum,,,04e3fd32-b08b-4806-a016-d2dff52ae55a
Erastophrya,,1,,Phyliopharyngea,Endogenida,,,,,7fa72df8-86b3-4b2b-aa71-32a04981c3ff
Cemoria fissura Linnaeus,,1,Mollusca,"Gastropoda Cuvier, 1797","Archaeogastropoda Thiele, 1925","Fissurellidae Fleming,1822","Cemoria Leach, 1852",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Erato laevis,,1,,,,,,,,316c7f45-9808-46e9-afb6-3be3ad861eef
Cemmelavia sp.,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Eremina ehrenbergi Roth, 1839",,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Helicidae Rafinesque, 1815","Eremina Pfeiffer, 1855",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Idyla castalia boschi Nordsieck, 1973",,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Clausiliidae Draparnaud, 1805","Idyla Adams A. & Adams H., 1855",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Celuca uruguayensis,,1,,,,,,,,333a0cb5-5a6b-4f97-957c-9128270ee540
Celuca leptodactyla,,1,,,,,,,,333a0cb5-5a6b-4f97-957c-9128270ee540
"Idyla castalia crenilabris (Boettger, 1885)",,1,Mollusca,"Gastropoda Cuvier, 1797",Stylommatophora,"Clausiliidae Draparnaud, 1805","Idyla Adams A. & Adams H., 1855",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Eremomela icteropygialis alexanderi  W.L. Sclater & Mackworth-Pread, 1918",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Sylviidae,"Eremomela Sundevall, 1850",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Eremomela icteropygialis salvadorii  Reichenow, 1891",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Sylviidae,"Eremomela Sundevall, 1850",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Celosia argentea,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Cellularia ternata gracilis,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Acanthephyra laeckelii,,1,,,,,,,,4f46f9d8-dc63-4546-9dd5-075df3d25e4a
igis,426677.0,1,,Nassophorea,Microthoracida,,,,,bfe8521d-98ad-4aa0-bbfa-6f77c6cacd9d
Alona areuata,,1,,,,,,,,4f46f9d8-dc63-4546-9dd5-075df3d25e4a
"Alona affinis barbata Brehm, 1935",,1,Arthropoda,"Branchiopoda Latreille, 1817","Diplostraca Gerstaecker, 1866","Chydoridae Stebbing, 1902","Alona Baird, 1843",,,0912e81c-c5ac-4a53-b719-a9ae6535f895
"Eremophila alpestris ammophila (Oberholser, 1902)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Alaudidae,"Eremophila Boie, 1828",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Alloptes obtusolobus,http://gni.globalnames.org/?search_term=id:10564052,1,Arthropoda,Arachnida,Acarina,Proctophyllodidae,Alloptes,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
Celleporella yagana,,1,,,,,,,,b1f8bc4c-5427-40c8-8728-aad4d463b944
"Accipiter fasciatus hellmayri Stresemann, 1922",,1,"Chordata Bateson, 1885",Aves,Falconiformes,Accipitridae,"Accipiter Brisson, 1760",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Cellepora megasoma,,1,,,,,,,,f4775120-afcc-4350-9e03-649c978f6070
Iguana iguana,,1,Chordata,Reptilia,Squamata,Iguanidae,Iguana,,,29271d9a-c768-4928-accc-7d61a52185d7
"Eremophila alpestris leucansiptila (Oberholser, 1902)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Alaudidae,"Eremophila Boie, 1828",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Eremophila alpestris leucolaema (Coues, 1874)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Alaudidae,"Eremophila Boie, 1828",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Alloptes obtusolobus,http://gni.globalnames.org/?search_term=id:10564052,1,Arthropoda,Arachnida,Acarina,Analgesidae,Alloptes,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
Alloptes crassipes?,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?name=Alloptes+crassipes,1,Arthropoda,Arachnida,Acarina,Analgesidae,Alloptes,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
"Eremophila alpestris praticola (Henshaw, 1884)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Alaudidae,"Eremophila Boie, 1828",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Alloptes chionis,http://gni.globalnames.org/?search_term=id:11951479,1,Arthropoda,Arachnida,Acarina,Proctophyllodidae,Alloptes,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
Cellaria farcimoides Cuvellier,,1,Bryozoa,"Gymnolaemata Allman, 1856","Cheilostomatida Busk, 1852","Cellariidae Fleming, 1828","Cellaria Ellis & Solander, 1786",,,c3687703-997c-410c-8b69-60b848ce924f
"Eremopsaltria mongolica (Swinhoe, 1870)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Fringillidae,Eremopsaltria Kirwan & Gregory 2005,,,e9acab50-8203-4c1e-b2e7-cbb850670808
Alloptes chionis,http://gni.globalnames.org/?search_term=id:11951479,1,Arthropoda,Arachnida,Acarina,Analgesidae,Alloptes,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
Cellaria coronata,,1,Bryozoa,Gymnolaemata,Cheilostomatida,Cellariidae,Cellaria,,,97bdf279-6f78-4ed7-ad9d-27a5886f8ff2
Cellana variabilis,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Cellana sagitata,,1,,,,,,,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Celeus loricatus,,1,Chordata,Aves,Piciformes,Picidae,Celeus,,,29271d9a-c768-4928-accc-7d61a52185d7
I. labirynthus mauve,,1,,,,,,,,49f74e10-b23b-4aca-a0f2-62b4f1109dd3
"Celeus brachyurus brachyurus (Vieillot, 1818)",,1,"Chordata Bateson, 1885",Aves,Piciformes,Picidae,"Celeus Boie, 1831",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Eremopterix nigriceps melanauchen (Cabanis, 1851)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Alaudidae,Eremopterix Kaup,,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Eremopterix signatus (Oustalet, 1886)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Alaudidae,Eremopterix Kaup,,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Eremopterix signatus signatus (Oustalet, 1886)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Alaudidae,Eremopterix Kaup,,,e9acab50-8203-4c1e-b2e7-cbb850670808
Ilia nucleus subsp. nucleus,,1,Arthropoda,Crustacea,Decapoda,Leucosiidae,Ilia,,,97bdf279-6f78-4ed7-ad9d-27a5886f8ff2
"Celeus brachyurus badiosus (Bonaparte, 1850)",,1,"Chordata Bateson, 1885",Aves,Piciformes,Picidae,"Celeus Boie, 1831",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Alloptes aschuzurus,http://gni.globalnames.org/?search_term=id:11951503,1,Arthropoda,Arachnida,Acarina,Proctophyllodidae,Alloptes,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
"Illadopsis fulvescens fulvescens (Cassin, 1859)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Sylviidae,Illadopsis Heine,,,e9acab50-8203-4c1e-b2e7-cbb850670808
Ericara microlepis,,1,,,,,,,,2e9e9830-d7cf-43f3-ba38-12ac06a7c0ba
Erichsonella filiformis filiformis,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Allophylus cobbe,urn:lsid:itis.gov:itis_tsn:837844,1,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae,Allophylus,,,04e3fd32-b08b-4806-a016-d2dff52ae55a
Ericia canariensis d'Orbigny,,1,Mollusca,"Gastropoda Cuvier, 1797","Mesogastropoda Thiele, 1925","Pomatiasidae Gray, 1852","Ericia Walker, 1866",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Ericia canariensis var. adjuncta Mousson,,1,Mollusca,"Gastropoda Cuvier, 1797","Mesogastropoda Thiele, 1925","Pomatiasidae Gray, 1852","Ericia Walker, 1866",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Ericia elegans Muller,,1,Mollusca,"Gastropoda Cuvier, 1797","Mesogastropoda Thiele, 1925","Pomatiasidae Gray, 1852","Ericia Walker, 1866",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Ericia laevigata Webb & Berthelot,,1,Mollusca,"Gastropoda Cuvier, 1797","Mesogastropoda Thiele, 1925","Pomatiasidae Gray, 1852","Ericia Walker, 1866",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Ericia multisulcatum,,1,Mollusca,"Gastropoda Cuvier, 1797","Mesogastropoda Thiele, 1925","Pomatiasidae Gray, 1852","Ericia Walker, 1866",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Ericia sulcata Draparnaud,,1,Mollusca,"Gastropoda Cuvier, 1797","Mesogastropoda Thiele, 1925","Pomatiasidae Gray, 1852","Ericia Walker, 1866",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
Celastrus orbiculatus,,1,,,,,,,,790f9ddf-433c-4e47-aa6c-ccef0b8634fa
Ericthonius punctatus brasiliens,,1,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3
"Cecropis semirufa semirufa (Sundevall, 1850)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Hirundinidae,"Cecropis Boie, 1826",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Ericusa fulgetra bicincta Verco, 1912",,1,Mollusca,"Gastropoda Cuvier, 1797","Neogastropoda Wenz, 1938","Volutidae Rafinesque, 1815","Ericusa H. Adams & A. Adams, 1858",,,f68aab55-9261-49fa-8bf9-e6fe6fa7661b
"Cecropis daurica domicella (Hartlaub & Finsch, 1870)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Hirundinidae,"Cecropis Boie, 1826",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Erigone vagans,http://gni.globalnames.org/?search_term=id:4212152,1,Arthropoda,Arachnida,Araneida,Linyphiidae,Erigone,,,ed62786d-6530-43ad-8dd3-a63527bc5d43
"Cecropis badia Cassin, 1853",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Hirundinidae,"Cecropis Boie, 1826",,,e9acab50-8203-4c1e-b2e7-cbb850670808
"Cecropis abyssinica abyssinica (Guerin-Meneville, 1843)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Hirundinidae,"Cecropis Boie, 1826",,,e9acab50-8203-4c1e-b2e7-cbb850670808
Alloperla imbecilla,urn:lsid:itis.gov: itis_tsn:103204,1,Arthropoda,,,,Alloperla,,,ce1d93f3-8b0f-4ee7-9a4d-0393a6ec7fea
Allonais inaegualis,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Illadopsis rufipennis (Sharpe, 1872)",,1,"Chordata Bateson, 1885",Aves,Passeriformes,Sylviidae,Illadopsis Heine,,,e9acab50-8203-4c1e-b2e7-cbb850670808
Eriopisella incisa,,1,,,,,,,,81621597-dfd5-4657-b660-ba0f7924a8e3
Larnacalpis sp.,,1,Sarcodina,Actinopoda,Spumellaria,Litheliidae,,,,2859e656-7354-4b96-bbe4-08719aede5c4
Cecina manchuria,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Allokepon goetici,,1,,,,,,,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Allogromiid sp,,1,Foraminifera,,,,Allogromiid,,,f66e125a-afaf-4105-afb8-65561a7f34c8
"Allocypria anomale Remacle Rome, 1962",,1,Arthropoda,"Ostracoda Latreille, 1802","Podocopida Sars, 1866","Candonidae Kaufmann, 1900","Allocypria Remacle Rome, 1962",,,0912e81c-c5ac-4a53-b719-a9ae6535f895
"Cebus apella (Linnaeus, 1758)",,1,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758",Primates Linnaeus,Cebidae Bonaparte,"Cebus Erxleben, 1777",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
C.(Caranx) sexfasciatus,,1,,,,,C.(Caranx),,,0620ae56-5e20-412e-afd9-77acfa5a663a
C. (Caranx) sexfasciatus,,1,,,,,C. (Caranx),,,0620ae56-5e20-412e-afd9-77acfa5a663a
C. (Caranx) ignobilis,,1,,,,,C. (Caranx),,,0620ae56-5e20-412e-afd9-77acfa5a663a
C. (Carangoides) compressus,,1,,,,,C. (Carangoides),,,0620ae56-5e20-412e-afd9-77acfa5a663a
