scientificname,scientificnameid,records,phylum,class,order,family,genus,annotation_type,annotation_aphiaid,datasets
Nitzschia,,529,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5; d6fcd171-ee34-4fba-b03f-78290accb814; b795fd5d-71ab-413f-9bb6-90d803dce53c; 17c4fac0-95ef-4ada-bfb1-e1cb22126928
Chaetoceros wighamii,,516,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5; 62ddad25-2a19-485d-9bae-7eb3a40a71c5
Chaetoceros debilis,,515,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
Engraulis japonicus capensis,,509,,,,,,,,3b2a79a4-ef3c-4b0a-829a-9bcbc9f00e5c
Chlorotocella leptorhynchus,,504,Arthropoda,Malacostraca,Decapoda,Pandalidae,,,,685de728-3eb8-4b31-8bfd-40035bb8aa4d
Bison_bison,,504,,Mammalia,Artiodactyla,Bovidae,Bison,,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
"Eliomys quercinus quercinus (Linnaeus, 1766)",,502,"Chordata Bateson, 1885","Mammalia Linnaeus, 1758","Rodentia Bowdich, 1819",Myoxidae Gray,"Eliomys Wagler, 1840",,,94733b9b-61d0-40c3-8577-440dd4cb2c41
Globorotalia menardii sinistralis,,502,,,,,,,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2; ab8cfc47-8b3f-4f0e-b0f1-719793823118
Pyogplites diacanthus,,496,Chordata,,,,Pyogplites,,,c04414fb-9ac0-42d2-be21-f0754f416e04
Unicells and flagellates,,485,,,,,,,,58420107-111e-41f9-bcb7-d8abd65a7c1b
Calliurichthys grossi,,476,Chordata,Actinopterygii,Perciformes,Callionymidae,Calliurichthys,,,90faff6c-f5fe-4997-bd48-5b4651f5a11f; a8a98929-f991-4407-af3a-40496f47297c; e06daf5d-9e6b-44e1-a6a7-cc91a3ee1f3b; f17d8dae-4125-4a45-a491-81f8d018e19c; f8c046f0-e8ae-49f5-b94c-f78809a8b7dc; a0737a06-66ef-41e7-9458-9c05f53340b5; 553e6cd6-89a8-4482-b767-fb79a8d9c6ee; 58f229d6-8aad-4d85-b4b6-621d4f25d5ec; 97d434fe-2a1b-47ab-8b76-7789685bf116
CRYPTOMYS,,476,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
Gammaropsis lobata,,474,,,,,,,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 12acbce5-cb41-48c4-bd80-6030b0f0a83f; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 19abb100-fb94-4295-ab17-bb3e58674cf3
Paradoxornis paradoxus,,474,,,,,,,,363961a9-9f45-46df-980b-0b076e66a296
Hymenomycetidae,,469,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
Thalassiosira minima,,461,,,,,,,,46c52e34-73b7-45e6-a2ac-742e4c2058c5
Xiphinematobacteriaceae,,461,,,,,,,,2fd06604-7d20-4712-9f68-eae9ae336bb5
Eubosmina maritima,,461,,,,,,,,363961a9-9f45-46df-980b-0b076e66a296
Globigerina quinqueloba sinistralis,,460,,,,,,,,e724b7a8-b199-410c-a23c-1d46627df133; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
